         321650 function calls (294944 primitive calls) in 3.289 seconds

   Ordered by: cumulative time
   List reduced from 178 to 28 due to restriction <28>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    0.000    0.000    3.288    0.044 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\ctk_tk.py:148(update)
26195/100    3.108    0.000    3.288    0.033 {method 'call' of '_tkinter.tkapp' objects}
       75    0.000    0.000    3.288    0.044 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1371(update)
2631/2171    0.005    0.000    0.558    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1963(__call__)
  707/652    0.001    0.000    0.474    0.001 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\widgets\core_widget_classes\ctk_base_class.py:182(_update_dimensions_event)
    72/24    0.000    0.000    0.277    0.012 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\widgets\ctk_optionmenu.py:186(_draw)
    72/24    0.000    0.000    0.261    0.011 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1375(update_idletasks)
     4750    0.013    0.000    0.216    0.000 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\widgets\core_rendering\ctk_canvas.py:83(coords)
      371    0.001    0.000    0.191    0.001 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\widgets\core_rendering\draw_engine.py:97(draw_rounded_rect_with_border)
      371    0.003    0.000    0.190    0.001 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\widgets\core_rendering\draw_engine.py:187(__draw_rounded_rect_with_border_font_shapes)
     3552    0.001    0.000    0.100    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2983(itemconfigure)
     3576    0.005    0.000    0.099    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1702(_configure)
      168    0.001    0.000    0.097    0.001 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\widgets\ctk_frame.py:94(_draw)
       96    0.000    0.000    0.093    0.001 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\widgets\ctk_entry.py:156(_draw)
     4750    0.004    0.000    0.084    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2848(coords)
     2565    0.019    0.000    0.075    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1623(_substitute)
       72    0.000    0.000    0.043    0.001 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\widgets\core_rendering\draw_engine.py:400(draw_rounded_rect_with_border_vertical_split)
       72    0.001    0.000    0.042    0.001 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\widgets\core_rendering\draw_engine.py:530(__draw_rounded_rect_with_border_vertical_split_font_shapes)
    28215    0.009    0.000    0.031    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1629(getint_event)
    37180    0.028    0.000    0.028    0.000 {method 'getint' of '_tkinter.tkapp' objects}
     8409    0.002    0.000    0.023    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2951(find_withtag)
     3576    0.011    0.000    0.022    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1544(_options)
     8409    0.004    0.000    0.021    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2917(find)
     1810    0.004    0.000    0.013    0.000 F:\Projects\VRKA\VRKA-2.0.0-build009-work\VRKA-3.0\.venv\Lib\site-packages\customtkinter\windows\ctk_tk.py:101(_update_dimensions_event)
     2565    0.008    0.000    0.011    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1570(nametowidget)
     4750    0.002    0.000    0.010    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2959(gettags)
       42    0.000    0.000    0.008    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:860(callit)
     7152    0.004    0.000    0.007    0.000 C:\Users\Shukla\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:106(_cnfmerge)
